,justice,justiceName,majVotes,direction,minVotes,decisionDirection,majority,caseId,term,partyWinning,precedentAlteration,vote,issueArea
143,87,FMVinson,9,2,0,2,2,1946-016,1946,1,0,1,4
144,86,HHBurton,6,1,3,1,2,1946-017,1946,1,0,1,8
145,84,RHJackson,6,1,3,1,2,1946-017,1946,1,0,1,8
146,81,WODouglas,6,2,3,1,1,1946-017,1946,1,0,2,8
147,80,FFrankfurter,6,1,3,1,2,1946-017,1946,1,0,1,8
148,79,SFReed,6,1,3,1,2,1946-017,1946,1,0,1,8
149,78,HLBlack,6,2,3,1,1,1946-017,1946,1,0,2,8
150,85,WBRutledge,6,1,3,1,2,1946-017,1946,1,0,4,8
151,82,FMurphy,6,2,3,1,1,1946-017,1946,1,0,2,8
152,87,FMVinson,6,1,3,1,2,1946-017,1946,1,0,1,8
153,86,HHBurton,9,2,0,2,2,1946-018,1946,1,0,1,8
154,84,RHJackson,9,2,0,2,2,1946-018,1946,1,0,1,8
155,81,WODouglas,9,2,0,2,2,1946-018,1946,1,0,4,8
156,80,FFrankfurter,9,2,0,2,2,1946-018,1946,1,0,1,8
157,79,SFReed,9,2,0,2,2,1946-018,1946,1,0,1,8
158,78,HLBlack,9,2,0,2,2,1946-018,1946,1,0,1,8
159,85,WBRutledge,9,2,0,2,2,1946-018,1946,1,0,1,8
160,82,FMurphy,9,2,0,2,2,1946-018,1946,1,0,1,8
161,87,FMVinson,9,2,0,2,2,1946-018,1946,1,0,1,8
162,86,HHBurton,6,2,3,2,2,1946-019,1946,1,0,1,12
163,84,RHJackson,6,2,3,2,2,1946-019,1946,1,0,1,12
164,81,WODouglas,6,2,3,2,2,1946-019,1946,1,0,1,12
165,80,FFrankfurter,6,2,3,2,2,1946-019,1946,1,0,1,12
166,79,SFReed,6,2,3,2,2,1946-019,1946,1,0,1,12
167,78,HLBlack,6,1,3,2,1,1946-019,1946,1,0,2,12
168,85,WBRutledge,6,1,3,2,1,1946-019,1946,1,0,2,12
169,82,FMurphy,6,1,3,2,1,1946-019,1946,1,0,2,12
170,87,FMVinson,6,2,3,2,2,1946-019,1946,1,0,1,12
171,86,HHBurton,9,1,0,1,2,1946-020,1946,1,0,1,3
172,84,RHJackson,9,1,0,1,2,1946-020,1946,1,0,1,3
173,81,WODouglas,9,1,0,1,2,1946-020,1946,1,0,1,3
174,80,FFrankfurter,9,1,0,1,2,1946-020,1946,1,0,1,3
175,79,SFReed,9,1,0,1,2,1946-020,1946,1,0,1,3
176,78,HLBlack,9,1,0,1,2,1946-020,1946,1,0,1,3
177,85,WBRutledge,9,1,0,1,2,1946-020,1946,1,0,1,3
178,82,FMurphy,9,1,0,1,2,1946-020,1946,1,0,1,3
179,87,FMVinson,9,1,0,1,2,1946-020,1946,1,0,1,3
180,86,HHBurton,9,1,0,1,2,1946-021,1946,1,0,1,3
181,84,RHJackson,9,1,0,1,2,1946-021,1946,1,0,1,3
182,81,WODouglas,9,1,0,1,2,1946-021,1946,1,0,1,3
183,80,FFrankfurter,9,1,0,1,2,1946-021,1946,1,0,1,3
184,79,SFReed,9,1,0,1,2,1946-021,1946,1,0,1,3
185,78,HLBlack,9,1,0,1,2,1946-021,1946,1,0,1,3
186,85,WBRutledge,9,1,0,1,2,1946-021,1946,1,0,1,3
187,82,FMurphy,9,1,0,1,2,1946-021,1946,1,0,1,3
188,87,FMVinson,9,1,0,1,2,1946-021,1946,1,0,1,3
189,86,HHBurton,8,2,1,2,2,1946-022,1946,1,0,1,7
190,84,RHJackson,8,1,1,2,1,1946-022,1946,1,0,2,7
191,81,WODouglas,8,2,1,2,2,1946-022,1946,1,0,1,7
192,80,FFrankfurter,8,2,1,2,2,1946-022,1946,1,0,4,7
193,79,SFReed,8,2,1,2,2,1946-022,1946,1,0,1,7
194,78,HLBlack,8,2,1,2,2,1946-022,1946,1,0,1,7
195,85,WBRutledge,8,2,1,2,2,1946-022,1946,1,0,1,7
196,82,FMurphy,8,2,1,2,2,1946-022,1946,1,0,1,7
197,87,FMVinson,8,2,1,2,2,1946-022,1946,1,0,1,7
198,86,HHBurton,9,2,0,2,2,1946-023,1946,1,0,1,3
199,84,RHJackson,9,2,0,2,2,1946-023,1946,1,0,1,3
200,81,WODouglas,9,2,0,2,2,1946-023,1946,1,0,1,3
201,80,FFrankfurter,9,2,0,2,2,1946-023,1946,1,0,1,3
202,79,SFReed,9,2,0,2,2,1946-023,1946,1,0,1,3
203,78,HLBlack,9,2,0,2,2,1946-023,1946,1,0,1,3
204,85,WBRutledge,9,2,0,2,2,1946-023,1946,1,0,1,3
205,82,FMurphy,9,2,0,2,2,1946-023,1946,1,0,3,3
206,87,FMVinson,9,2,0,2,2,1946-023,1946,1,0,1,3
